User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data,Test run no.: 29,,,,,,,,,,
Test name: Crystal Violet 590nm,Date: 14/07/2026,Time: 11:51:50 AM,,,,,,,,,,
,,,,,,,,,,,,
ID1: ExampleData,,,,,,,,,,,,
Absorbance,,,,,,,,,,,,
,,,,,,,,,,,,
1. Layout,,,,,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,X21,X21,X21,X21,X21,X21,X21,X21,X21,X21,X21,X21
B,X21,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X21
C,X21,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X21
D,X21,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X21
E,X21,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21
F,X21,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21
G,X21,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21
H,X21,X21,X21,X21,X21,X21,X21,X21,X21,X21,X21,X21
,,,,,,,,,,,,
2. Raw Data (590),,,,,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,overflow,overflow,1.557,1.227,1.514,1.427,1.42,1.397,1.45,1.394,1.34,1.475
B,1.656,0.711,0.732,0.872,0.924,0.772,0.712,0.741,0.882,0.706,0.676,1.48
C,1.345,0.725,0.805,1.032,0.881,0.763,0.655,0.855,0.766,0.685,0.667,1.351
D,1.498,0.877,0.708,1.049,0.876,0.883,0.815,0.791,0.853,0.784,0.736,1.309
E,1.601,0.818,0.91,1.136,0.908,1.028,0.765,1.075,1.214,0.92,1.046,1.405
F,1.682,0.794,0.853,1.188,1.132,1.215,0.891,0.984,1.028,1.352,0.733,1.42
G,1.639,0.916,0.848,1.35,1.356,1.417,1.242,1.255,1.184,1.073,0.804,1.672
H,2.091,1.274,1.431,1.539,2.011,1.825,1.555,1.738,1.563,1.576,1.416,1.831
,,,,,,,,,,,,
3. Average over replicates based on Raw Data (590),,,,,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1.533,1.533,1.533,1.533,1.533,1.533,1.533,1.533,1.533,1.533,1.533,1.533
B,1.533,0.771,0.748,0.984,0.893,0.806,0.727,0.796,0.834,0.725,0.693,1.533
C,1.533,0.771,0.748,0.984,0.893,0.806,0.727,0.796,0.834,0.725,0.693,1.533
D,1.533,0.771,0.748,0.984,0.893,0.806,0.727,0.796,0.834,0.725,0.693,1.533
